id,region,usuario,antiguedad,genero
10092,RegionB,Ligero,34.58355751,Hombre
10093,RegionC,Pesado,27.3897938,Mujer
10094,RegionC,Ligero,32.02180134,Mujer
10095,RegionA,Pesado,34.24054306,Mujer
10096,RegionC,Pesado,11.08082066,Hombre
10097,RegionA,Ligero,50.7287879,Hombre
10098,RegionC,Pesado,33.5368744,Hombre
10099,RegionA,Ligero,27.59778501,Hombre
10100,RegionA,Ligero,24.7415132,Hombre
10101,RegionC,Pesado,43.32363971,Mujer
10102,RegionA,Ligero,57.55210719,Hombre
10103,RegionC,Ligero,42.14020239,Hombre
10104,RegionC,Ligero,27.58202296,Mujer
10105,RegionB,Ligero,34.45661103,Hombre
10106,RegionC,Pesado,26.17695698,Mujer
10107,RegionA,Pesado,41.93990956,Mujer
10108,RegionC,Pesado,41.33955269,Mujer
10109,RegionC,Pesado,43.74042482,Mujer
10110,RegionC,Pesado,50.99824635,Mujer
10111,RegionA,Ligero,53.00745743,Mujer
10112,RegionB,Ligero,40.75590375,Hombre
10113,RegionC,Ligero,60.61237924,Mujer
10114,RegionC,Pesado,42.05424539,Mujer
10115,RegionB,Ligero,43.01995679,Hombre
10116,RegionA,Pesado,51.58951343,Mujer
10117,RegionC,Ligero,54.4899865,Hombre
10118,RegionA,Pesado,24.42456928,Mujer
10119,RegionC,Ligero,63.7826878,Hombre
10120,RegionA,Ligero,31.42866638,Mujer
10121,RegionA,Pesado,45.65738556,Mujer
10122,RegionC,Ligero,27.7932832,Mujer
10123,RegionC,Ligero,37.3317397,Mujer
10124,RegionA,Ligero,22.59749507,Mujer
10125,RegionB,Ligero,43.36422448,Hombre
10126,RegionC,Ligero,22.51906962,Mujer
10127,RegionA,Ligero,49.40038465,Mujer
10128,RegionC,Pesado,24.08761769,Mujer
10129,RegionA,Pesado,50.5341487,Hombre
10130,RegionA,Pesado,31.03181061,Mujer
10131,RegionB,Ligero,26.31365629,Hombre
10132,RegionA,Pesado,56.46686364,Mujer
10133,RegionA,Ligero,24.75912192,Hombre
10134,RegionA,Ligero,14.88983313,Mujer
10135,RegionC,Ligero,39.14509769,Mujer
10136,RegionA,Ligero,42.18603437,Hombre
10137,RegionA,Ligero,37.3098323,Hombre
10138,RegionB,Ligero,30.79318298,Hombre
10139,RegionB,Pesado,55.32199442,Mujer
10140,RegionC,Pesado,28.23531973,Hombre
10141,RegionB,Pesado,25.95690543,Mujer
10142,RegionA,Ligero,58.60756255,Mujer
10143,RegionB,Ligero,26.36031473,Hombre
10144,RegionB,Ligero,65.55889195,Hombre
10145,RegionC,Pesado,39.72701049,Mujer
10146,RegionC,Ligero,28.28429651,Mujer
10147,RegionA,Pesado,19.22447844,Hombre
10148,RegionC,Pesado,36.17039572,Mujer
10149,RegionB,Ligero,28.54324265,Hombre
10150,RegionC,Ligero,51.49522895,Hombre
10151,RegionB,Pesado,46.99899932,Mujer
10152,RegionA,Ligero,39.82676259,Mujer
10153,RegionB,Ligero,40.84215954,Mujer
10154,RegionC,Ligero,38.76266335,Mujer
10155,RegionB,Ligero,49.26878188,Hombre
10156,RegionB,Pesado,41.24442888,Mujer
10157,RegionA,Pesado,36.9569112,Hombre
10158,RegionC,Pesado,42.79978751,Hombre
10159,RegionB,Ligero,55.94941847,Hombre
10160,RegionB,Ligero,24.20127151,Hombre
10161,RegionB,Pesado,40.86719986,Mujer
10162,RegionB,Pesado,29.87312984,Mujer
10163,RegionA,Pesado,47.30012376,Mujer
10164,RegionC,Ligero,62.63968191,Mujer
10165,RegionB,Ligero,57.75892472,Hombre
10166,RegionA,Ligero,45.33740744,Hombre
10167,RegionA,Ligero,49.85084391,Hombre
10168,RegionA,Pesado,29.88039901,Hombre
10169,RegionC,Ligero,49.82998958,Hombre
10170,RegionB,Ligero,30.96769013,Mujer
10171,RegionB,Ligero,48.64004282,Hombre
10172,RegionC,Ligero,57.91930601,Hombre
10173,RegionB,Pesado,35.81524728,Mujer
10174,RegionB,Ligero,29.21409792,Mujer
10175,RegionB,Ligero,36.04370688,Mujer
10176,RegionA,Ligero,55.43868741,Hombre
10177,RegionA,Pesado,26.97591626,Mujer
10178,RegionC,Pesado,24.74546849,Mujer
10179,RegionA,Ligero,54.68934938,Mujer
10180,RegionC,Ligero,55.46724267,Hombre
10181,RegionC,Ligero,40.74063137,Mujer
10182,RegionC,Pesado,46.23173014,Hombre
10183,RegionA,Ligero,31.13803433,Hombre
10184,RegionB,Pesado,57.71958783,Mujer
10185,RegionB,Pesado,27.22430551,Hombre
10186,RegionB,Ligero,50.57351551,Mujer
10187,RegionC,Ligero,69.12397126,Hombre
10188,RegionB,Ligero,24.90354822,Hombre
10189,RegionC,Ligero,61.12969541,Mujer
10190,RegionC,Pesado,30.90748675,Mujer
10191,RegionB,Ligero,32.32800103,Hombre
10192,RegionA,Ligero,26.299591,Mujer
10193,RegionA,Ligero,15.91244676,Mujer
10194,RegionA,Ligero,23.77232703,Mujer
10195,RegionB,Ligero,37.96139075,Hombre
10196,RegionB,Ligero,40.77963118,Mujer
10197,RegionA,Pesado,37.87982137,Hombre
10198,RegionA,Ligero,47.06695368,Mujer
10199,RegionB,Pesado,46.56590321,Mujer
10200,RegionC,Ligero,56.88764011,Hombre
10201,RegionB,Pesado,43.61773057,Mujer
10202,RegionA,Ligero,20.42125241,Mujer
10203,RegionC,Ligero,49.72847704,Mujer
10204,RegionB,Pesado,43.54710429,Mujer
10205,RegionA,Ligero,34.76622094,Hombre
10206,RegionA,Pesado,56.53898258,Mujer
10207,RegionA,Ligero,42.35380874,Mujer
10208,RegionC,Pesado,46.58073617,Mujer
10209,RegionA,Pesado,48.73812741,Hombre
10210,RegionB,Ligero,33.78523366,Hombre
10211,RegionA,Ligero,36.24542205,Mujer
10212,RegionA,Ligero,40.20563358,Mujer
10213,RegionB,Ligero,26.70198516,Mujer
10214,RegionB,Ligero,56.73373178,Hombre
10215,RegionB,Ligero,60.01453942,Hombre
10216,RegionA,Pesado,59.60265863,Hombre
10217,RegionC,Pesado,38.10318147,Hombre
10218,RegionB,Ligero,21.17854137,Mujer
10219,RegionB,Pesado,33.47892874,Mujer
10220,RegionA,Ligero,31.26886035,Mujer
10221,RegionC,Ligero,25.2025492,Mujer
10222,RegionC,Ligero,22.80200194,Hombre
10223,RegionB,Ligero,25.02667511,Hombre
10224,RegionA,Ligero,57.72796479,Hombre
10225,RegionB,Ligero,35.35482037,Hombre
10226,RegionB,Pesado,48.18155316,Mujer
10227,RegionB,Ligero,46.83136329,Hombre
10228,RegionC,Ligero,56.84579648,Hombre
10229,RegionC,Ligero,45.27036192,Hombre
10230,RegionA,Pesado,48.53638221,Mujer
10231,RegionC,Ligero,59.26671138,Hombre
10232,RegionA,Ligero,26.40045255,Mujer
10233,RegionB,Ligero,57.28535445,Hombre
10234,RegionB,Pesado,48.78425339,Hombre
10235,RegionA,Pesado,30.69114862,Mujer
10236,RegionA,Ligero,58.11802765,Mujer
10237,RegionC,Pesado,27.75565111,Hombre
10238,RegionB,Ligero,44.10164172,Hombre
10239,RegionC,Ligero,29.42814737,Hombre
10240,RegionA,Pesado,48.13665892,Hombre
10241,RegionB,Pesado,16.35466184,Mujer
10242,RegionA,Ligero,28.42036177,Hombre
10243,RegionA,Ligero,42.18356834,Hombre
10244,RegionA,Ligero,23.72834184,Hombre
10245,RegionA,Pesado,41.01238768,Hombre
10246,RegionB,Ligero,32.33286231,Hombre
10247,RegionC,Pesado,62.38560307,Mujer
10248,RegionB,Ligero,15.73630964,Hombre
10249,RegionB,Ligero,45.35486281,Hombre
10250,RegionB,Ligero,27.4314952,Mujer
10251,RegionC,Ligero,34.70944176,Mujer
10252,RegionB,Ligero,61.84938356,Mujer
10253,RegionA,Ligero,53.82863972,Mujer
10254,RegionA,Pesado,63.14540781,Hombre
10255,RegionA,Ligero,36.49907545,Hombre
10256,RegionB,Ligero,46.82695801,Mujer
10257,RegionA,Ligero,57.05735345,Mujer
10258,RegionA,Ligero,32.64932188,Hombre
10259,RegionA,Ligero,26.96405433,Hombre
10260,RegionA,Pesado,35.27150334,Mujer
10261,RegionB,Pesado,58.91866642,Hombre
10262,RegionC,Ligero,14.73363183,Mujer
10263,RegionB,Ligero,60.01761511,Mujer
10264,RegionA,Pesado,73.52799045,Hombre
10265,RegionA,Ligero,23.68973854,Hombre
10266,RegionB,Pesado,45.17798505,Mujer
10267,RegionA,Ligero,32.72709404,Mujer
10268,RegionC,Ligero,27.8203722,Hombre
10269,RegionB,Pesado,49.83627019,Hombre
10270,RegionB,Pesado,37.7935582,Mujer
10271,RegionA,Pesado,45.25910493,Hombre
10272,RegionB,Ligero,25.34248653,Mujer
10273,RegionA,Ligero,44.88616954,Mujer
10274,RegionB,Ligero,27.04439485,Mujer
10275,RegionB,Ligero,31.57541667,Mujer
10276,RegionC,Ligero,52.66832438,Mujer
10277,RegionB,Pesado,45.79012409,Mujer
10278,RegionA,Pesado,49.93267233,Mujer
10279,RegionA,Ligero,25.46251961,Hombre
10280,RegionB,Ligero,44.12933972,Hombre
10281,RegionB,Ligero,41.06376208,Mujer
10282,RegionB,Ligero,53.15877324,Mujer
10283,RegionC,Pesado,25.22874389,Mujer
10284,RegionA,Ligero,21.86242273,Hombre
10285,RegionB,Ligero,69.09448525,Mujer
10286,RegionA,Ligero,38.94266002,Mujer
10287,RegionC,Ligero,30.91022943,Mujer
10288,RegionB,Ligero,18.28594434,Hombre
10289,RegionC,Ligero,38.11627775,Hombre
10290,RegionB,Pesado,24.92417134,Hombre
10291,RegionA,Ligero,42.86747995,Mujer
10292,RegionB,Ligero,56.58012428,Hombre
10293,RegionA,Pesado,56.78864787,Hombre
10294,RegionC,Ligero,18.56918629,Mujer
10295,RegionA,Ligero,59.12738639,Mujer
10296,RegionC,Pesado,27.5855115,Hombre
10297,RegionB,Pesado,42.92313251,Mujer
10298,RegionB,Pesado,23.09195213,Mujer
10299,RegionB,Ligero,47.34575073,Hombre
10300,RegionC,Pesado,53.34674581,Mujer
10301,RegionA,Pesado,55.62369698,Hombre
10302,RegionA,Pesado,20.90246823,Mujer
10303,RegionC,Ligero,43.27998423,Mujer
10304,RegionA,Ligero,15.51336153,Hombre
10305,RegionA,Pesado,57.92232515,Mujer
10306,RegionB,Ligero,44.11277953,Hombre
10307,RegionB,Pesado,52.90543945,Hombre
10308,RegionB,Pesado,36.98611461,Mujer
10309,RegionA,Ligero,60.20648948,Mujer
10310,RegionB,Ligero,38.10977352,Hombre
10311,RegionA,Pesado,33.21505546,Mujer
10312,RegionC,Pesado,32.05720881,Hombre
10313,RegionC,Pesado,11.45499729,Hombre
10314,RegionA,Ligero,38.31907751,Mujer
10315,RegionA,Ligero,14.57958707,Hombre
10316,RegionA,Ligero,24.35615848,Mujer
10317,RegionB,Ligero,52.44804167,Hombre
10318,RegionC,Ligero,22.01882076,Hombre
10319,RegionC,Ligero,59.59399465,Mujer
10320,RegionA,Ligero,31.2976647,Mujer
10321,RegionA,Pesado,34.41268304,Mujer
10322,RegionC,Ligero,35.49664856,Hombre
10323,RegionB,Pesado,17.1420861,Hombre
10324,RegionA,Pesado,21.83361403,Hombre
10325,RegionB,Ligero,38.80406491,Hombre
10326,RegionB,Ligero,47.52916033,Mujer
10327,RegionA,Ligero,31.87157634,Hombre
10328,RegionA,Ligero,29.3041352,Mujer
10329,RegionB,Ligero,60.9343324,Hombre
10330,RegionB,Ligero,52.89510971,Hombre
10331,RegionB,Ligero,61.76942004,Hombre
10332,RegionA,Ligero,55.73675323,Hombre
10333,RegionB,Ligero,47.17139863,Mujer
10334,RegionB,Ligero,43.12269811,Mujer
10335,RegionA,Ligero,29.10247814,Hombre
10336,RegionA,Ligero,51.35784521,Hombre
10337,RegionB,Ligero,52.71981071,Hombre
10338,RegionA,Ligero,15.19958408,Hombre
10339,RegionB,Ligero,17.36596097,Mujer
10340,RegionA,Ligero,53.97613447,Mujer
10341,RegionB,Pesado,34.1145208,Hombre
10342,RegionA,Ligero,28.14445413,Mujer
10343,RegionB,Ligero,31.07744359,Hombre
10344,RegionA,Ligero,48.23653968,Mujer
10345,RegionC,Pesado,51.47206186,Mujer
10346,RegionA,Ligero,53.07741905,Mujer
10347,RegionA,Ligero,31.04194825,Mujer
10348,RegionC,Ligero,40.64316464,Hombre
10349,RegionC,Pesado,50.4712077,Mujer
10350,RegionA,Ligero,33.91766798,Mujer
10351,RegionB,Pesado,17.99787766,Mujer
10352,RegionC,Ligero,31.12094956,Hombre
10353,RegionB,Pesado,49.01189878,Mujer
10354,RegionA,Pesado,44.0711865,Hombre
10355,RegionB,Ligero,39.35446427,Mujer
10356,RegionB,Pesado,41.66429936,Mujer
10357,RegionB,Ligero,41.8462366,Mujer
10358,RegionC,Pesado,38.1915465,Hombre
10359,RegionC,Ligero,52.75236565,Hombre
10360,RegionC,Pesado,17.29121731,Mujer
10361,RegionB,Ligero,41.16627952,Hombre
10362,RegionB,Ligero,33.36690072,Hombre
10363,RegionA,Pesado,34.35459488,Mujer
10364,RegionA,Pesado,53.61817985,Mujer
10365,RegionB,Ligero,56.17566409,Hombre
10366,RegionA,Ligero,33.15536023,Hombre
10367,RegionA,Ligero,42.93370647,Mujer
10368,RegionA,Ligero,46.30835789,Mujer
10369,RegionC,Ligero,35.47276222,Hombre
10370,RegionB,Ligero,20.70196193,Hombre
10371,RegionC,Ligero,37.95731916,Hombre
10372,RegionA,Ligero,44.22897484,Mujer
10373,RegionB,Ligero,34.03571561,Hombre
10374,RegionB,Ligero,52.09996404,Hombre
10375,RegionB,Pesado,31.08811414,Mujer
10376,RegionB,Pesado,24.58485389,Mujer
10377,RegionB,Ligero,44.58317941,Hombre
10378,RegionB,Ligero,15.35993762,Mujer
10379,RegionC,Ligero,51.38016459,Mujer
10380,RegionB,Pesado,56.17234898,Mujer
10381,RegionB,Pesado,31.13790613,Mujer
10382,RegionC,Pesado,36.49437886,Mujer
10383,RegionC,Pesado,31.53649221,Hombre
10384,RegionB,Ligero,38.94312711,Hombre
10385,RegionB,Ligero,59.82177435,Hombre
10386,RegionA,Ligero,37.23027204,Hombre
10387,RegionC,Ligero,42.07254711,Hombre
10388,RegionC,Ligero,41.60312708,Hombre
10389,RegionA,Ligero,33.21489102,Mujer
10390,RegionA,Ligero,20.96848091,Mujer
10391,RegionC,Ligero,33.7105731,Mujer
10392,RegionB,Pesado,38.52710272,Hombre
10393,RegionB,Ligero,36.18882673,Mujer
10394,RegionA,Ligero,59.70969567,Mujer
10395,RegionA,Pesado,32.89502799,Mujer
10396,RegionA,Ligero,41.90284852,Mujer
10397,RegionB,Ligero,31.03860669,Mujer
10398,RegionC,Ligero,50.94624135,Hombre
10399,RegionB,Ligero,35.06743631,Hombre
10400,RegionA,Pesado,56.3541097,Mujer
10401,RegionB,Ligero,55.93802305,Mujer
10402,RegionC,Pesado,36.64544621,Mujer
10403,RegionC,Ligero,64.15863283,Mujer
10404,RegionC,Ligero,58.04160646,Mujer
10405,RegionA,Pesado,48.55164963,Hombre
10406,RegionB,Pesado,44.21670636,Mujer
10407,RegionA,Pesado,39.05220517,Hombre
10408,RegionA,Pesado,44.85854793,Mujer
10409,RegionC,Ligero,24.11339429,Mujer
10410,RegionA,Ligero,54.23152741,Mujer
10411,RegionA,Ligero,31.01583917,Mujer
10412,RegionB,Pesado,30.1535461,Mujer
10413,RegionB,Pesado,30.50205882,Mujer
10414,RegionB,Ligero,28.37935089,Mujer
10415,RegionC,Ligero,57.83369369,Mujer
10416,RegionC,Ligero,57.48255833,Hombre
10417,RegionA,Ligero,34.88598917,Hombre
10418,RegionA,Ligero,38.39907559,Hombre
10419,RegionA,Ligero,28.4796056,Hombre
10420,RegionA,Ligero,42.02010389,Mujer
10421,RegionC,Pesado,24.28764177,Mujer
10422,RegionC,Ligero,28.34640343,Hombre
10423,RegionA,Ligero,37.86934567,Hombre
10424,RegionC,Pesado,39.09773964,Hombre
10425,RegionA,Ligero,53.88066222,Mujer
10426,RegionC,Ligero,34.35948637,Mujer
10427,RegionA,Ligero,27.95432598,Hombre
10428,RegionA,Ligero,43.76136148,Mujer
10429,RegionC,Pesado,58.39219537,Mujer
10430,RegionC,Pesado,37.56138333,Mujer
10431,RegionC,Ligero,40.87931432,Mujer
10432,RegionC,Pesado,35.59401132,Hombre
10433,RegionB,Ligero,36.62252407,Hombre
10434,RegionA,Ligero,30.3288325,Mujer
10435,RegionC,Ligero,44.12078754,Hombre
10436,RegionA,Ligero,54.78112606,Mujer
10437,RegionC,Ligero,37.40321595,Hombre
10438,RegionB,Ligero,22.21334938,Mujer
10439,RegionA,Ligero,30.24742225,Hombre
10440,RegionC,Ligero,39.24859669,Mujer
10441,RegionC,Pesado,25.58070307,Mujer
10442,RegionA,Ligero,31.19584435,Mujer
10443,RegionC,Ligero,36.40739823,Mujer
10444,RegionB,Ligero,27.18892223,Hombre
10445,RegionB,Pesado,41.79955781,Mujer
10446,RegionA,Ligero,69.11830528,Hombre
10447,RegionC,Ligero,64.4042139,Hombre
10448,RegionA,Pesado,37.82506796,Mujer
10449,RegionB,Pesado,31.31465325,Hombre
10450,RegionC,Ligero,34.96377327,Mujer
10451,RegionC,Ligero,22.33427054,Hombre
10452,RegionC,Ligero,57.80526796,Hombre
10453,RegionB,Pesado,45.02638266,Hombre
10454,RegionB,Ligero,50.58996627,Hombre
10455,RegionC,Ligero,20.37073314,Mujer
10456,RegionA,Ligero,33.63963844,Hombre
10457,RegionA,Ligero,27.41101462,Hombre
10458,RegionB,Ligero,49.97311504,Mujer
10459,RegionC,Ligero,48.85329459,Mujer
10460,RegionB,Ligero,58.85810087,Mujer
10461,RegionB,Ligero,40.82958101,Hombre
10462,RegionA,Ligero,21.95943933,Hombre
10463,RegionC,Pesado,49.18605946,Mujer
10464,RegionC,Pesado,57.01530685,Hombre
10465,RegionC,Ligero,63.07912053,Mujer
10466,RegionC,Pesado,44.15715531,Mujer
10467,RegionC,Ligero,25.21878613,Mujer
10468,RegionB,Pesado,24.19983753,Mujer
10469,RegionA,Ligero,44.26090114,Hombre
10470,RegionC,Ligero,20.17469439,Hombre
10471,RegionC,Ligero,46.57961132,Hombre
10472,RegionB,Ligero,38.06260357,Mujer
10473,RegionA,Pesado,14.86415892,Mujer
10474,RegionC,Pesado,35.12614178,Mujer
10475,RegionC,Pesado,61.15464904,Mujer
10476,RegionA,Ligero,70.10927924,Mujer
10477,RegionB,Ligero,51.27858776,Mujer
10478,RegionB,Ligero,38.06176224,Mujer
10479,RegionA,Ligero,27.32828213,Hombre
10480,RegionA,Ligero,44.33608319,Mujer
10481,RegionC,Pesado,56.78709662,Hombre
10482,RegionC,Ligero,24.17979998,Hombre
10483,RegionA,Ligero,28.87840945,Mujer
10484,RegionA,Pesado,44.79679957,Mujer
10485,RegionA,Ligero,39.08453489,Mujer
10486,RegionC,Ligero,41.73446168,Mujer
10487,RegionC,Ligero,45.65239147,Mujer
10488,RegionC,Ligero,35.50340616,Hombre
10489,RegionA,Ligero,26.93655359,Mujer
10490,RegionA,Ligero,54.50350252,Mujer
10491,RegionB,Pesado,39.44905955,Mujer
10492,RegionC,Ligero,33.52756589,Hombre
10493,RegionC,Ligero,51.46514202,Mujer
10494,RegionA,Ligero,32.17422603,Hombre
10495,RegionA,Ligero,66.97232244,Hombre
10496,RegionA,Ligero,15.6174578,Hombre
10497,RegionA,Ligero,54.0426708,Hombre
10498,RegionB,Pesado,36.07001838,Hombre
10499,RegionB,Ligero,27.85895096,Mujer
10500,RegionA,Ligero,38.83725113,Mujer
10501,RegionC,Ligero,62.21952801,Mujer
10502,RegionA,Pesado,44.57276914,Mujer
10503,RegionA,Ligero,58.4664388,Hombre
10504,RegionB,Ligero,43.83052262,Hombre
10505,RegionA,Pesado,48.90262894,Mujer
10506,RegionA,Ligero,52.01506093,Mujer
10507,RegionA,Ligero,42.00202393,Hombre
10508,RegionC,Ligero,55.08702392,Mujer
10509,RegionC,Ligero,50.66326898,Hombre
10510,RegionC,Pesado,64.04850762,Hombre
10511,RegionC,Ligero,51.11471524,Mujer
10512,RegionA,Ligero,40.85242306,Mujer
10513,RegionC,Pesado,17.94905691,Mujer
10514,RegionC,Pesado,21.42684041,Mujer
10515,RegionC,Ligero,24.92666122,Mujer
10516,RegionB,Pesado,25.85580687,Mujer
10517,RegionB,Ligero,29.55022636,Hombre
10518,RegionC,Ligero,58.41776044,Hombre
10519,RegionB,Ligero,40.19998188,Hombre
10520,RegionB,Ligero,31.38364673,Mujer
10521,RegionA,Pesado,33.4917666,Hombre
10522,RegionB,Pesado,33.65657276,Hombre
10523,RegionA,Ligero,27.47789144,Hombre
10524,RegionC,Pesado,50.31726977,Hombre
10525,RegionC,Ligero,50.48924329,Hombre
10526,RegionB,Pesado,44.56385838,Hombre
10527,RegionB,Pesado,40.5530943,Hombre
10528,RegionA,Ligero,32.93435475,Mujer
10529,RegionC,Ligero,49.90876492,Hombre
10530,RegionB,Pesado,44.80367405,Mujer
10531,RegionC,Pesado,39.66560521,Hombre
10532,RegionB,Ligero,25.42507137,Hombre
10533,RegionB,Ligero,61.28789765,Hombre
10534,RegionC,Ligero,23.71675233,Hombre
10535,RegionC,Ligero,28.61660403,Hombre
10536,RegionA,Pesado,60.42907508,Hombre
10537,RegionA,Ligero,37.95277624,Mujer
10538,RegionC,Ligero,36.47455401,Hombre
10539,RegionA,Pesado,61.77452637,Hombre
10540,RegionB,Ligero,56.69789199,Mujer
10541,RegionC,Ligero,21.59188684,Hombre
10542,RegionB,Pesado,38.02399021,Hombre
10543,RegionA,Ligero,46.15582415,Mujer
10544,RegionA,Ligero,57.51379803,Hombre
10545,RegionA,Ligero,29.34063433,Mujer
10546,RegionC,Ligero,44.92388088,Mujer
10547,RegionC,Pesado,49.96884805,Mujer
10548,RegionA,Ligero,30.05800568,Hombre
10549,RegionB,Ligero,28.66976271,Mujer
10550,RegionB,Pesado,44.39561638,Mujer
10551,RegionA,Pesado,30.52925707,Hombre
10552,RegionC,Ligero,40.55880929,Hombre
10553,RegionC,Ligero,56.70689241,Mujer
10554,RegionC,Ligero,31.60102429,Hombre
10555,RegionA,Pesado,46.12929498,Mujer
10556,RegionA,Ligero,27.00133339,Hombre
10557,RegionA,Ligero,32.33402237,Mujer
10558,RegionA,Pesado,45.49842463,Mujer
10559,RegionC,Ligero,42.16518238,Hombre
10560,RegionB,Ligero,34.05856176,Mujer
10561,RegionC,Pesado,37.52304187,Mujer
10562,RegionB,Pesado,44.2558321,Mujer
10563,RegionA,Pesado,20.87301923,Hombre
10564,RegionA,Pesado,46.85937019,Mujer
10565,RegionC,Ligero,52.25562322,Mujer
10566,RegionA,Ligero,46.16194593,Mujer
10567,RegionA,Ligero,25.74284202,Mujer
10568,RegionC,Ligero,36.64916791,Hombre
10569,RegionB,Ligero,26.95695994,Mujer
10570,RegionA,Ligero,39.70436331,Mujer
10571,RegionA,Ligero,20.93919899,Hombre
10572,RegionA,Ligero,57.98226861,Mujer
10573,RegionC,Pesado,34.01052027,Hombre
10574,RegionA,Pesado,55.55270648,Mujer
10575,RegionC,Ligero,34.18903114,Hombre
10576,RegionB,Ligero,34.92327143,Hombre
10577,RegionC,Ligero,44.75902108,Mujer
10578,RegionB,Pesado,52.51968187,Mujer
10579,RegionB,Pesado,41.07735749,Mujer
10580,RegionB,Ligero,49.77724752,Hombre
10581,RegionA,Ligero,18.80824715,Mujer
